time_s,G_ratio,Lambda_ratio
4.1504047578504723e-41,1.0497929098134307,1.0999958496813702
4.768611697714455e-41,1.0497621370039902,1.0999952315019987
5.478901179593912e-41,1.0497268040312855,1.0999945212489095
6.294988990221939e-41,1.049686239147159,1.09999370520914
7.232633896483578e-41,1.04963967293281,1.0999927676276522
8.309941949353421e-41,1.0495862245087957,1.0999916904033167
9.547716114208066e-41,1.0495248859306512,1.0999904527396658
1.0969857978923819e-40,1.049454504575022,1.099989030743688
1.2603829296797224e-40,1.049373763315422,1.0999873969649525
1.448118227674524e-40,1.049281158287092,1.0999855198661959
1.6638168860761137e-40,1.0491749740499787,1.0999833632152058
1.9116440753857116e-40,1.0490532559814787,1.0999808853863213
2.1963853724165516e-40,1.0489137797715824,1.0999780385581537
2.523539170434766e-40,1.0487540179592176,1.0999747677921528
2.8994228538828693e-40,1.0485711035487595,1.0999710099743814
3.3312947879346566e-40,1.0483617908911145,1.0999666926002671
3.8274944785162834e-40,1.0481224142186563,1.0999617323791373
4.397603609302748e-40,1.047848844505172,1.0999560336319485
5.0526310653357e-40,1.047536445702218,1.0999494864517374
5.805225516094907e-40,1.047180031907263,1.0999419645919004
6.669919663030115e-40,1.0467738276759193,1.0999333230423392
7.663410868007432e-40,1.046311434532606,1.0999233952477536
8.80488358164341e-40,1.0457858077942626,1.0999119899157968
1.0116379797661988e-39,1.0451892491304788,1.0998988873553426
1.1623224686798589e-39,1.044513421861474,1.0998838352766442
1.3354515629299028e-39,1.0437493978436485,1.0998665439755693
1.5343684089300133e-39,1.042887746876196,1.0998466808132452
1.7629141180959442e-39,1.0419186817878803,1.099823863890225
2.025501939230658e-39,1.0408322745464205,1.0997976548005532
2.327202478960393e-39,1.0396187605576759,1.0997675503357311
2.6738416158399657e-39,1.0382689492888622,1.0997329729914709
3.072112998861772e-39,1.0367747587220195,1.0996932601111615
3.529707302730657e-39,1.03512988789604,1.0996476514791214
4.055460735840828e-39,1.03333063459339,1.0995952751539777
4.659525668664668e-39,1.0313768524695033,1.0995351313080053
5.353566677410697e-39,1.029273021902484,1.0994660738122057
6.150985788580454e-39,1.0270293801087038,1.0993867892797369
7.067181273927534e-39,1.0246630180828513,1.099295773252699
8.119844993184042e-39,1.0221988060546465,1.0991913031902893
9.329304026284696e-39,1.0196699600777832,1.099071407891482
1.0718913192051265e-38,1.0171180195960745,1.0989338329648384
1.231550603292821e-38,1.0145919849527862,1.0987760019448718
1.4149912974345672e-38,1.0121463863766993,1.0985949726527182
1.6257556664438067e-38,1.009838146593305,1.0983873884143804
1.8679135990207922e-38,1.0077222780631476,1.0981494237900733
2.14614119785841e-38,1.0058467257726365,1.0978767245431875
2.465811075822604e-38,1.0042469960854332,1.0975643417002283
2.833096101839318e-38,1.002941521320853,1.0972066597406598
3.2550885998350433e-38,1.0019288701280227,1.096797319229579
3.739937302478771e-38,1.001187779625069,1.0963291345938333
4.2970047043207997e-38,1.0006804630893187,1.0957940082775222
4.937047852839024e-38,1.0003587875503535,1.0951828432372241
5.672426068491989e-38,1.0001719755328664,1.0944854567001308
6.51733960488242e-38,1.000073879743208,1.0936904993667982
7.48810385759e-38,1.0000279851615992,1.0927853858579777
8.603464416684457e-38,1.0000091734539023,1.091756244248316
9.884959046625667e-38,1.0000025467530593,1.0905878950607788
1.135733358343112e-37,1.0000005841746404,1.0892638731604636
1.304901978014407e-37,1.0000001076100218,1.0877665095954114
1.499268432786047e-37,1.0000000154074205,1.0860770945301963
1.722585965398784e-37,1.0000000016514834,1.084176146841773
1.979166867853549e-37,1.000000000126928,1.0820438203634704
2.2739657523579134e-37,1.0000000000066567,1.0796604805901342
2.612675225563305e-37,1.0000000000002252,1.0770074879655769
3.0018358135756044e-37,1.0000000000000047,1.0740682232749865
3.4489622604057667e-37,1.0,1.0708293852111581
3.962688638701479e-37,1.0,1.067282577307538
4.552935074866938e-37,1.0,1.0634261780044827
5.231099308056237e-37,1.0,1.0592674502228607
6.010276782070338e-37,1.0,1.0548247924042753
6.905513520162373e-37,1.0,1.0501299600311886
7.934096665797524e-37,1.0,1.0452299971015977
9.115888299750837e-37,1.0,1.0401885189274016
1.0473708979594486e-36,1.0,1.0350858981637925
1.2033778407775856e-36,1.0,1.030017854217228
1.382622173764648e-36,1.0,1.0250919734524007
1.5885651294280398e-36,1.0,1.0204218428620286
1.8251834943190236e-36,1.0,1.01611880643219
2.0970464013232393e-36,1.0,1.0122818650063032
2.409403560239527e-36,1.0,1.008986887996367
2.768286630392061e-36,1.0,1.0062769459945604
3.180625692794106e-36,1.0,1.0041559643414943
3.654383070957232e-36,1.0,1.0025877457114527
4.19870708444394e-36,1.0,1.0015014977373957
4.824108704165393e-36,1.0,1.0008033711093554
5.5426645206631184e-36,1.0,1.0003916078452562
6.368249944718587e-36,1.0,1.00017151582223
7.316807143427177e-36,1.0,1.0000664279778926
8.406652885618283e-36,1.0,1.0000223376272988
9.65883224115863e-36,1.0,1.0000063859050379
1.1097524964120608e-35,1.0,1.0000015149773689
1.275051240713018e-35,1.0,1.000000290083362
1.4649713983072877e-35,1.0,1.0000000434220233
1.683180353330955e-35,1.0,1.000000004898246
1.933891750455224e-35,1.0,1.0000000003992224
2.2219468609395103e-35,1.0,1.0000000000223979
2.5529080682395373e-35,1.0,1.0000000000008182
2.93316627839006e-35,1.0,1.0000000000000182
3.3700643292719386e-35,1.0,1.0000000000000002
3.872038781812557e-35,1.0,1.0
4.4487828311275763e-35,1.0,1.0
5.111433483440145e-35,1.0,1.0
5.872786613189441e-35,1.0,1.0
6.747544053110631e-35,1.0,1.0
7.752597488629496e-35,1.0,1.0
8.907354638610458e-35,1.0,1.0
1.0234114021054528e-34,1.0,1.0
1.1758495540521533e-34,1.0,1.0
1.3509935211980196e-34,1.0,1.0
1.5522253574270608e-34,1.0,1.0
1.7834308769319202e-34,1.0,1.0
2.0490746898158543e-34,1.0,1.0
2.35428641432242e-34,1.0,1.0
2.7049597304631314e-34,1.0,1.0
3.1078661877820013e-34,1.0,1.0
3.570785964900441e-34,1.0,1.0
4.1026581058271565e-34,1.0,1.0
4.713753134116671e-34,1.0,1.0
5.415871378079487e-34,1.0,1.0
6.2225708367302316e-34,1.0,1.0
7.149428986597562e-34,1.0,1.0
8.214343584919388e-34,1.0,1.0
9.437878277775313e-34,1.0,1.0
1.0843659686896176e-33,1.0,1.0
1.2458833642950133e-33,1.0,1.0
1.4314589375234814e-33,1.0,1.0
1.6446761779946627e-33,1.0,1.0
1.889652339691204e-33,1.0,1.0
2.171117945694492e-33,1.0,1.0
2.494508135230296e-33,1.0,1.0
2.866067616948221e-33,1.0,1.0
3.2929712550971616e-33,1.0,1.0
3.783462617131933e-33,1.0,1.0
4.347013158125017e-33,1.0,1.0
4.9945051158551194e-33,1.0,1.0
5.7384416483023576e-33,1.0,1.0
6.593188271333596e-33,1.0,1.0
7.575250258771951e-33,1.0,1.0
8.703591361485183e-33,1.0,1.0
1e-32,1.0,1.0
